,budget,popularity,release_date,revenue,runtime,title,vote_average,vote_count,month,Action,Adventure,Fantasy,Animation,Science Fiction,Drama,Thriller,Family,Comedy,History,War,Western,Romance,Crime,Mystery,Horror,Music,Documentary,Foreign,warner,universal,paramount,walt_disney,sony,Number_Genres
2347,0,7.668063,2009-01-01,0,107.0,Fame,5.5,135,01,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4
2348,18000000,52.464877,2010-11-05,35692920,94.0,127 Hours,7.0,2606,11,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
2349,0,11.423533,2000-05-19,0,94.0,Small Time Crooks,6.4,155,05,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
2350,18000000,6.961736,2000-05-12,17200925,115.0,Center Stage,6.8,90,05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
2351,17000000,9.191187,2015-11-12,24000000,107.0,Love the Coopers,5.4,167,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2352,18000000,4.492858999999999,2004-02-06,16702864,92.0,Catch That Kid,4.9,76,02,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2353,18000000,5.706767,2001-10-25,0,125.0,Life as a House,7.2,120,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2354,30000000,53.670525,2015-10-09,34441873,122.0,Steve Jobs,6.8,1573,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2355,18000000,14.15192,2009-07-10,0,102.0,"I Love You, Beth Cooper",5.1,197,07,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
2356,18000000,13.462544,2009-09-11,0,87.0,Youth in Revolt,5.9,319,09,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
2357,18000000,11.725805000000001,1981-08-20,2945600,98.0,The Legend of the Lone Ranger,3.7,14,08,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4
2358,21000000,7.047975,2001-02-11,28008462,109.0,The Tailor of Panama,6.2,92,02,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2359,18000000,13.628601000000002,1981-07-24,12000000,108.0,Blow Out,7.3,236,07,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
2360,18000000,16.520516,2013-08-29,10501938,90.0,Getaway,4.9,246,08,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
2361,18000000,14.916264000000002,1997-09-27,8038061,112.0,The Ice Storm,6.9,176,09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2362,18000000,9.633711,2014-07-20,25312387,94.0,And So It Goes,5.7,164,07,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
2363,0,3.455018,1989-03-22,0,105.0,Troop Beverly Hills,5.6,56,03,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2364,0,1.946634,2004-09-03,0,104.0,Being Julia,6.4,23,09,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2365,17000000,12.313143,1986-02-14,6735922,117.0,Nine 1/2 Weeks,5.8,177,02,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2366,18000000,3.258422,1981-06-26,14110013,108.0,Dragonslayer,6.5,67,06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2367,0,3.6592919999999998,2009-09-04,0,112.0,The Last Station,6.7,55,09,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2368,18000000,24.548633,1994-09-27,5887457,127.0,Ed Wood,7.3,630,09,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2369,18000000,17.683563,2013-12-27,20275812,111.0,Labor Day,6.7,299,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2370,18000000,10.1449,2007-09-20,26527510,120.0,Mongol: The Rise of Genghis Khan,6.5,158,09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2371,18000000,31.887978000000004,2008-09-04,25739015,114.0,RockNRolla,6.9,836,09,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
